running recursive scan test
sum_ref =  445698416
sum_gpu =  [445698416]
CPU took:     1.43504142761  ms
Kernel took:  2.29692459106  ms
True
         887060 function calls (836406 primitive calls) in 1.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 arrayprint.py:457(_extendLine)
        1    0.000    0.000    0.000    0.000 arrayprint.py:465(_formatArray)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        3    0.000    0.000    0.000    0.000 arrayprint.py:533(__init__)
        3    0.000    0.000    0.000    0.000 arrayprint.py:547(fillFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:639(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:652(__call__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
        3    0.000    0.000    0.000    0.000 arrayprint.py:661(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:699(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:700(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:716(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:743(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:744(__init__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:217(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:254(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
        4    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.001    0.001 atomicops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 atomicops.py:121(define_atomic_ops)
        1    0.000    0.000    0.013    0.013 atomicops.py:128(compile_atomic_ops)
        1    0.000    0.000    0.001    0.001 atomicops.py:14(_define_incref)
        6    0.001    0.000    0.003    0.000 atomicops.py:149(remove_redundant_nrt_refct)
      207    0.000    0.000    0.000    0.000 atomicops.py:212(<genexpr>)
        1    0.000    0.000    0.001    0.001 atomicops.py:31(_define_decref)
        1    0.000    0.000    0.002    0.002 atomicops.py:59(install_atomic_refct)
        4    0.000    0.000    0.001    0.000 atomicops.py:75(_define_atomic_inc_dec)
        1    0.000    0.000    0.000    0.000 atomicops.py:96(_define_atomic_cmpxchg)
        1    0.004    0.004    0.017    0.017 base.py:1(<module>)
      143    0.000    0.000    0.004    0.000 base.py:1016(get_nrt_meminfo)
    50/19    0.000    0.000    0.004    0.000 base.py:1019(nrt_incref)
     1498    0.001    0.000    0.002    0.000 base.py:103(append)
    93/26    0.001    0.000    0.009    0.000 base.py:1036(nrt_decref)
        1    0.000    0.000    0.000    0.000 base.py:1053(_wrap_impl)
      167    0.000    0.000    0.000    0.000 base.py:1054(__init__)
      167    0.001    0.000    0.085    0.001 base.py:1059(__call__)
       22    0.000    0.000    0.000    0.000 base.py:1062(__getattr__)
        1    0.001    0.001    0.002    0.002 base.py:107(_load_global_helpers)
        1    0.000    0.000    0.000    0.000 base.py:127(BaseContext)
        2    0.000    0.000    0.026    0.013 base.py:155(__init__)
       20    0.000    0.000    0.014    0.001 base.py:180(get_arg_packer)
        4    0.000    0.000    0.000    0.000 base.py:187(subtarget)
       10    0.000    0.000    0.005    0.001 base.py:195(install_registry)
       10    0.003    0.000    0.005    0.000 base.py:203(insert_func_defn)
       10    0.000    0.000    0.000    0.000 base.py:208(insert_attr_defn)
        1    0.000    0.000    0.000    0.000 base.py:212(insert_user_function)
        4    0.000    0.000    0.011    0.003 base.py:249(declare_function)
        5    0.000    0.000    0.000    0.000 base.py:266(insert_const_string)
        7    0.000    0.000    0.000    0.000 base.py:276(insert_unique_const)
        4    0.000    0.000    0.000    0.000 base.py:287(get_argument_type)
        6    0.000    0.000    0.000    0.000 base.py:293(get_data_type)
      698    0.002    0.000    0.012    0.000 base.py:310(get_value_type)
       24    0.000    0.000    0.001    0.000 base.py:313(pack_value)
       26    0.000    0.000    0.001    0.000 base.py:319(unpack_value)
      172    0.000    0.000    0.002    0.000 base.py:325(is_struct_type)
       77    0.000    0.000    0.004    0.000 base.py:328(get_constant_generic)
       95    0.001    0.000    0.003    0.000 base.py:379(get_constant)
      167    0.001    0.000    0.008    0.000 base.py:432(get_function)
       27    0.000    0.000    0.002    0.000 base.py:474(get_attribute)
        4    0.000    0.000    0.000    0.000 base.py:549(get_returned_value)
        5    0.000    0.000    0.000    0.000 base.py:555(get_return_value)
        1    0.000    0.000    0.000    0.000 base.py:572(pair_first)
        1    0.000    0.000    0.000    0.000 base.py:580(pair_second)
      680    0.002    0.000    0.011    0.000 base.py:588(cast)
        1    0.000    0.000    0.000    0.000 base.py:59(Overloads)
      502    0.000    0.000    0.000    0.000 base.py:60(__init__)
      169    0.001    0.000    0.006    0.000 base.py:64(find)
      366    0.001    0.000    0.004    0.000 base.py:75(_match_arglist)
        3    0.000    0.000    0.000    0.000 base.py:762(get_c_value)
        1    0.000    0.000    0.000    0.000 base.py:822(get_struct_type)
