,Unnamed: 0,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
80,80,500.0,"sk=300,th=30%",2.0,3.0,0.0116491317749,0.0116491317749,0.00569105148315,0.00312614440918,,,,,,339.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.358,,2.0,,,,0.0,False
81,81,500.0,"sk=300,th=30%",2.0,3.0,0.0116450786591,0.0116450786591,0.00569415092468,0.00311303138733,,,,,,339.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.358,,2.0,,,,1.0,False
82,82,500.0,"sk=300,th=30%",2.0,3.0,0.0116450786591,0.0116450786591,0.00579380989075,0.00311994552612,,,,,,339.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.358,,2.0,,,,2.0,False
83,83,500.0,"sk=300,th=30%",2.0,3.0,0.0116469860077,0.0116469860077,0.00573897361755,0.00312519073486,,,,,,339.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.358,,2.0,,,,3.0,False
84,84,500.0,"sk=300,th=30%",2.0,3.0,0.0116620063782,0.0116620063782,0.00576996803284,0.00308299064636,,,,,,339.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.358,,2.0,,,,4.0,False
85,85,500.0,"sk=300,th=30%",2.0,3.0,0.357810020447,0.357810020447,0.00959086418152,0.00314593315125,,0.287935972214,0.040580034256,0.00322484970093,,339.0,sparse complete,248528.0,0.0,337.0,499.0,497.056,12.5140266901,0.358,,2.0,0.358,,2.0,0.0,False
86,86,500.0,"sk=300,th=30%",2.0,3.0,0.356998920441,0.356998920441,0.00938701629639,0.00314593315125,,0.298974990845,0.0408651828766,0.00363993644714,,339.0,sparse complete,248528.0,0.0,337.0,499.0,497.056,12.5140266901,0.358,,2.0,0.358,,2.0,1.0,False
87,87,500.0,"sk=300,th=30%",2.0,3.0,0.435687065125,0.435687065125,0.0108411312103,0.00362586975098,,0.332304000854,0.0470948219299,0.00365900993347,,339.0,sparse complete,248528.0,0.0,337.0,499.0,497.056,12.5140266901,0.358,,2.0,0.358,,2.0,2.0,False
88,88,500.0,"sk=300,th=30%",2.0,3.0,0.377790927887,0.377790927887,0.00940585136414,0.00311803817749,,0.290538072586,0.040745973587,0.00322699546814,,339.0,sparse complete,248528.0,0.0,337.0,499.0,497.056,12.5140266901,0.358,,2.0,0.358,,2.0,3.0,False
89,89,500.0,"sk=300,th=30%",2.0,3.0,0.356709003448,0.356709003448,0.00940299034119,0.00310587882996,,0.290554046631,0.0408329963684,0.00323295593262,,339.0,sparse complete,248528.0,0.0,337.0,499.0,497.056,12.5140266901,0.358,,2.0,0.358,,2.0,4.0,False
90,90,500.0,"sk=300,th=30%",2.0,3.0,0.270196914673,0.270196914673,0.00467705726624,0.00314617156982,,0.190144062042,0.0385980606079,0.00321197509766,,339.0,sparse condensed const,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,0.0,False
91,91,500.0,"sk=300,th=30%",2.0,3.0,0.269695043564,0.269695043564,0.00466799736023,0.00314021110535,,0.187823057175,0.0383839607239,0.00319290161133,,339.0,sparse condensed const,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,1.0,False
92,92,500.0,"sk=300,th=30%",2.0,3.0,0.269705057144,0.269705057144,0.00486588478088,0.0032479763031,,0.190726995468,0.0386531352997,0.00324106216431,,339.0,sparse condensed const,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,2.0,False
93,93,500.0,"sk=300,th=30%",2.0,3.0,0.268920183182,0.268920183182,0.00465202331543,0.00312805175781,,0.188126087189,0.0383780002594,0.00319790840149,,339.0,sparse condensed const,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,3.0,False
94,94,500.0,"sk=300,th=30%",2.0,3.0,0.269863843918,0.269863843918,0.00466918945312,0.00312805175781,,0.187837123871,0.0382928848267,0.0032320022583,,339.0,sparse condensed const,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,4.0,False
95,95,500.0,"sk=300,th=30%",2.0,3.0,0.26916384697,0.26916384697,0.00461792945862,0.00316500663757,,0.188180923462,0.0382440090179,0.0032160282135,,339.0,sparse condensed linear,124264.0,0.0,0.0,499.0,248.528,144.00836509,0.358,,2.0,0.358,,2.0,0.0,False
